word,is_stopword
a_lô,1
a_ha,1
ai,0
ai_ai,1
ai_nấy,1
ai_đó,1
alô,1
amen,1
anh,1
anh_ấy,1
ba,1
ba_ba,1
ba_bản,1
ba_cùng,1
ba_họ,1
ba_ngày,1
ba_ngôi,1
ba_tăng,1
bao_giờ,0
bao_lâu,0
bao_nhiêu,0
bao_nả,1
bay_biến,0
biết,0
biết_bao,1
biết_bao_nhiêu,0
biết_chắc,0
biết_chừng_nào,0
biết_mình,1
biết_mấy,1
biết_thế,0
biết_trước,1
biết_việc,1
biết_đâu,0
biết_đâu_chừng,0
biết_đâu_đấy,0
biết_được,1
buổi,1
buổi_làm,1
buổi_mới,1
buổi_ngày,1
buổi_sớm,1
bà,1
bà_ấy,1
bài,1
bài_bác,0
bài_bỏ,0
bài_cái,1
bác,1
bán,0
bán_cấp,1
bán_dạ,1
bán_thế,1
bây_bẩy,1
bây_chừ,1
bây_giờ,1
bây_nhiêu,1
bèn,1
béng,1
bên,0
bên_bị,1
bên_có,1
bên_cạnh,1
bông,1
bước,1
bước_khỏi,1
bước_tới,1
bước_đi,1
bạn,1
bản,1
bản_bộ,1
bản_riêng,1
bản_thân,1
bản_ý,1
bất_chợt,1
bất_cứ,1
bất_giác,1
bất_kì,1
bất_kể,1
bất_kỳ,1
bất_luận,1
bất_ngờ,0
bất_nhược,1
bất_quá,0
bất_quá_chỉ,1
bất_thình_lình,1
bất_tử,1
bất_đồ,1
bấy,1
bấy_chầy,1
bấy_chừ,1
bấy_giờ,1
bấy_lâu,1
bấy_lâu_nay,1
bấy_nay,1
bấy_nhiêu,1
bập_bà_bập_bõm,0
bập_bõm,0
bắt_đầu,1
bắt_đầu_từ,1
bằng,0
bằng_cứ,1
bằng_không,1
bằng_người,1
bằng_nhau,0
bằng_như,1
bằng_nào,1
bằng_nấy,1
bằng_vào,1
bằng_được,1
bằng_ấy,1
bển,1
bệt,1
bị,0
bị_chú,1
bị_vì,0
bỏ,0
bỏ_bà,0
bỏ_cha,0
bỏ_cuộc,0
bỏ_không,1
bỏ_lại,1
bỏ_mình,1
bỏ_mất,0
bỏ_mẹ,0
bỏ_nhỏ,1
bỏ_quá,1
bỏ_ra,1
bỏ_riêng,1
bỏ_việc,1
bỏ_xa,0
bỗng,1
bỗng_chốc,1
bỗng_dưng,1
bỗng_không,1
bỗng_nhiên,1
bỗng_nhưng,1
bỗng_thấy,1
bỗng_đâu,1
bộ,1
bộ_thuộc,1
bộ_điều,1
bội_phần,0
bớ,1
bởi,1
bởi_ai,1
bởi_chưng,1
bởi_nhưng,1
bởi_sao,0
bởi_thế,1
bởi_thế_cho_nên,1
bởi_tại,1
bởi_vì,1
bởi_vậy,1
bởi_đâu,0
bức,0
cao,0
cao_lâu,1
cao_ráo,0
cao_răng,1
cao_sang,0
cao_số,0
cao_thấp,0
cao_thế,0
cao_xa,0
cha,1
cha_chả,0
chao_ôi,0
chia_sẻ,0
chiếc,1
cho,1
cho_biết,1
cho_chắc,1
cho_hay,1
cho_nhau,1
cho_nên,1
cho_rằng,1
cho_rồi,1
cho_thấy,1
cho_tin,1
cho_tới,1
cho_tới_khi,1
cho_về,1
cho_ăn,1
cho_đang,1
cho_được,1
cho_đến,1
cho_đến_khi,1
cho_đến_nỗi,0
choa,0
chu_cha,0
chui_cha,0
chung,1
chung_cho,1
chung_chung,0
chung_cuộc,1
chung_cục,1
chung_nhau,1
chung_qui,1
chung_quy,1
chung_quy_lại,1
chung_ái,1
chuyển,0
chuyển_tự,1
chuyển_đạt,1
chuyện,1
chuẩn_bị,1
chành_chạnh,1
chí_chết,0
chính,0
chính_bản,1
chính_giữa,1
chính_là,1
chính_thị,1
chính_điểm,1
chùn_chùn,0
chùn_chũn,0
chú,1
chú_dẫn,1
chú_khách,1
chú_mày,1
chú_mình,1
chúng,1
chúng_mình,1
chúng_ta,1
chúng_tôi,1
chúng_ông,1
chăn_chắn,1
chăng,0
chăng_chắc,0
chăng_nữa,1
chơi,0
chơi_họ,1
chưa,0
chưa_bao_giờ,0
chưa_chắc,0
chưa_có,0
chưa_cần,0
chưa_dùng,0
chưa_dễ,0
chưa_kể,0
chưa_tính,0
chưa_từng,0
chầm_chập,0
chậc,0
chắc,0
chắc_chắn,0
chắc_dạ,0
chắc_hẳn,0
chắc_lòng,0
chắc_người,0
chắc_vào,0
chắc_ăn,0
chẳng_lẽ,0
chẳng_những,0
chẳng_nữa,0
chẳng_phải,0
chết_nỗi,0
chết_thật,0
chết_tiệt,0
chỉ,0
chỉ_chính,1
chỉ_có,0
chỉ_là,1
chỉ_tên,1
chỉn,1
chị,1
chị_bộ,1
chị_ấy,1
chịu,0
chịu_chưa,0
chịu_lời,1
chịu_tốt,0
chịu_ăn,1
chọn,1
chọn_bên,1
chọn_ra,1
chốc_chốc,1
chớ,0
chớ_chi,0
chớ_gì,0
chớ_không,0
chớ_kể,0
chớ_như,0
chợt,1
chợt_nghe,1
chợt_nhìn,1
chủn,1
chứ,0
chứ_ai,0
chứ_còn,0
chứ_gì,0
chứ_không,0
chứ_không_phải,0
chứ_lại,0
chứ_lị,0
chứ_như,0
chứ_sao,0
coi_bộ,0
coi_mòi,0
con,1
con_con,1
con_dạ,1
con_nhà,1
con_tính,1
cu_cậu,1
cuối,0
cuối_cùng,0
cuối_điểm,1
cuốn,1
cuộc,0
càng,0
càng_càng,0
càng_hay,0
cá_nhân,1
các,1
các_cậu,1
cách,0
cách_bức,1
cách_không,1
cách_nhau,1
cách_đều,1
cái,1
cái_gì,0
cái_họ,1
cái_đã,1
cái_đó,1
cái_ấy,1
câu_hỏi,0
cây,1
cây_nước,1
còn,1
còn_như,1
còn_nữa,1
còn_thời_gian,1
còn_về,1
có,1
có_ai,0
có_chuyện,1
có_chăng,0
có_chăng_là,0
có_chứ,0
có_cơ,1
có_dễ,0
có_họ,1
có_khi,1
có_ngày,1
có_người,1
có_nhiều,1
có_nhà,1
có_phải,0
có_số,1
có_tháng,1
có_thế,1
có_thể,1
có_vẻ,0
có_ý,1
có_ăn,1
có_điều,0
có_điều_kiện,1
có_đáng,0
có_đâu,0
có_được,1
cóc_khô,1
cô,1
cô_mình,1
cô_quả,1
cô_tăng,1
cô_ấy,1
công_nhiên,1
cùng,0
cùng_chung,1
cùng_cực,0
cùng_nhau,1
cùng_tuổi,1
cùng_tột,0
cùng_với,1
cùng_ăn,1
căn,1
căn_cái,1
căn_cắt,1
căn_tính,1
cũng,1
cũng_như,1
cũng_nên,1
cũng_thế,1
cũng_vậy,1
cũng_vậy_thôi,1
cũng_được,0
cơ,1
cơ_chỉ,1
cơ_chừng,0
cơ_cùng,1
cơ_dẫn,1
cơ_hồ,0
cơ_hội,1
cơ_mà,0
cơn,1
cả,1
cả_nghe,1
cả_nghĩ,1
cả_ngày,1
cả_người,1
cả_nhà,1
cả_năm,1
cả_thảy,1
cả_thể,1
cả_tin,0
cả_ăn,1
cả_đến,1
cảm_thấy,0
cảm_ơn,0
cấp,0
cấp_số,1
cấp_trực_tiếp,1
cần,0
cần_cấp,0
cần_gì,0
cần_số,1
cật_lực,0
cật_sức,0
cậu,1
cổ_lai,1
cụ_thể,1
cụ_thể_là,1
cụ_thể_như,1
của,1
của_ngọt,1
của_tin,1
cứ,0
cứ_như,1
cứ_việc,1
cứ_điểm,1
cực_lực,0
do,1
do_vì,1
do_vậy,1
do_đó,1
duy,1
duy_chỉ,1
duy_có,1
dài,0
dài_lời,1
dài_ra,1
dành,1
dành_dành,1
dào,0
dì,1
dù,0
dù_cho,0
dù_dì,1
dù_gì,0
dù_rằng,0
dù_sao,0
dùng,0
dùng_cho,1
dùng_hết,1
dùng_làm,1
dùng_đến,1
dưới,1
dưới_nước,1
dạ,1
dạ_bán,1
dạ_con,1
dạ_dài,1
dạ_dạ,1
dạ_khách,1
dần_dà,1
dần_dần,1
dầu_sao,0
dẫn,1
dẫu,0
dẫu_mà,0
dẫu_rằng,0
dẫu_sao,0
dễ,0
dễ_dùng,0
dễ_gì,0
dễ_khiến,1
dễ_nghe,0
dễ_ngươi,1
dễ_như_chơi,0
dễ_sợ,0
dễ_sử_dụng,0
dễ_thường,0
dễ_thấy,0
dễ_ăn,0
dễ_đâu,0
dở_chừng,0
dữ,0
dữ_cách,1
em,1
em_em,1
giá_trị,0
giá_trị_thực_tế,0
giảm,0
giảm_chính,1
giảm_thấp,0
giảm_thế,1
giống,0
giống_người,1
giống_nhau,0
giống_như,0
giờ,1
giờ_lâu,1
giờ_này,1
giờ_đi,1
giờ_đây,1
giờ_đến,1
giữ,0
giữ_lấy,0
giữ_ý,1
giữa,1
giữa_lúc,1
gây,0
gây_cho,0
gây_giống,1
gây_ra,0
gây_thêm,0
gì,0
gì_gì,0
gì_đó,1
gần,1
gần_bên,1
gần_hết,1
gần_ngày,1
gần_như,1
gần_xa,1
gần_đây,1
gần_đến,1
gặp,0
gặp_khó_khăn,0
gặp_phải,0
gồm,1
hay,0
hay_biết,1
hay_hay,0
hay_không,0
hay_là,1
hay_làm,1
hay_nhỉ,0
hay_nói,0
hay_sao,0
hay_tin,1
hay_đâu,0
hiểu,1
hiện_nay,1
hiện_tại,1
hoàn_toàn,0
hoặc,1
hoặc_là,1
hãy,1
hãy_còn,1
hơn,0
hơn_cả,0
hơn_hết,0
hơn_là,1
hơn_nữa,1
hơn_trước,0
hầu_hết,1
hết,0
hết_chuyện,1
hết_cả,0
hết_của,1
hết_nói,0
hết_ráo,0
hết_rồi,0
hết_ý,0
họ,1
họ_gần,1
họ_xa,1
hỏi,0
hỏi_lại,0
hỏi_xem,0
hỏi_xin,0
hỗ_trợ,0
khi,1
khi_khác,1
khi_không,1
khi_nào,0
khi_nên,1
khi_trước,1
khiến,0
khoảng,1
khoảng_cách,1
khoảng_không,1
khá,0
khá_tốt,0
khác,1
khác_gì,0
khác_khác,1
khác_nhau,1
khác_nào,0
khác_thường,0
khác_xa,0
khách,0
khó,0
khó_biết,0
khó_chơi,0
khó_khăn,0
khó_làm,0
khó_mở,0
khó_nghe,0
khó_nghĩ,0
khó_nói,0
khó_thấy,0
khó_tránh,0
không,0
không_ai,0
không_bao_giờ,0
không_bao_lâu,0
không_biết,0
không_bán,0
không_chỉ,0
không_còn,0
không_có,0
không_có_gì,0
không_cùng,0
không_cần,0
không_cứ,0
không_dùng,0
không_gì,0
không_hay,0
không_khỏi,0
không_kể,0
không_ngoài,0
không_nhận,0
không_những,0
không_phải,0
không_phải_không,0
không_thể,0
không_tính,0
không_điều_kiện,0
không_được,0
không_đầy,0
không_để,0
khẳng_định,0
khỏi,0
khỏi_nói,0
kể,1
kể_cả,1
kể_như,1
kể_tới,1
kể_từ,1
liên_quan,1
loại,0
loại_từ,1
luôn,1
luôn_cả,1
luôn_luôn,0
luôn_tay,1
là,1
là_cùng,1
là_là,1
là_nhiều,1
là_phải,1
là_thế_nào,0
là_vì,1
là_ít,1
làm,0
làm_bằng,1
làm_cho,0
làm_dần_dần,1
làm_gì,0
làm_lòng,1
làm_lại,1
làm_lấy,1
làm_mất,0
làm_ngay,1
làm_như,1
làm_nên,1
làm_ra,1
làm_riêng,1
làm_sao,0
làm_theo,1
làm_thế_nào,0
làm_tin,1
làm_tôi,1
làm_tăng,0
làm_tại,1
làm_tắp_lự,1
làm_vì,1
làm_đúng,0
làm_được,0
lâu,0
lâu_các,1
lâu_lâu,0
lâu_nay,1
lâu_ngày,1
lên,0
lên_cao,1
lên_cơn,1
lên_mạnh,0
lên_ngôi,0
lên_nước,1
lên_số,1
lên_xuống,0
lên_đến,1
lòng,0
lòng_không,1
lúc,0
lúc_khác,1
lúc_lâu,1
lúc_nào,0
lúc_này,1
lúc_sáng,1
lúc_trước,1
lúc_đi,1
lúc_đó,1
lúc_đến,1
lúc_ấy,1
lý_do,1
lượng,1
lượng_cả,1
lượng_số,1
lượng_từ,1
lại,1
lại_bộ,1
lại_cái,1
lại_còn,1
lại_giống,1
lại_làm,1
lại_người,1
lại_nói,1
lại_nữa,1
lại_quả,1
lại_thôi,1
lại_ăn,1
lại_đây,1
lấy,1
lấy_có,1
lấy_cả,1
lấy_giống,1
lấy_làm,1
lấy_lý_do,1
lấy_lại,1
lấy_ra,1
lấy_ráo,1
lấy_sau,1
lấy_số,1
lấy_thêm,1
lấy_thế,1
lấy_vào,1
lấy_xuống,1
lấy_được,1
lấy_để,1
lần,1
lần_khác,1
lần_lần,1
lần_nào,0
lần_này,1
lần_sang,1
lần_sau,1
lần_theo,1
lần_trước,1
lần_tìm,1
lớn,0
lớn_lên,1
lớn_nhỏ,0
lời,0
lời_chú,1
lời_nói,1
mang,0
mang_lại,0
mang_mang,1
mang_nặng,0
mang_về,0
muốn,0
mà,0
mà_cả,1
mà_không,0
mà_lại,0
mà_thôi,1
mà_vẫn,0
mình,1
mạnh,0
mất,0
mất_còn,1
mọi,1
mọi_giờ,1
mọi_khi,1
mọi_lúc,1
mọi_người,1
mọi_nơi,1
mọi_sự,1
mọi_thứ,1
mọi_việc,1
mối,1
mỗi,1
mỗi_lúc,1
mỗi_lần,1
mỗi_một,1
mỗi_ngày,1
mỗi_người,1
một,1
một_cách,1
một_cơn,1
một_khi,1
một_lúc,1
một_số,0
một_vài,1
một_ít,1
mới,0
mới_hay,1
mới_rồi,1
mới_đây,1
mở,0
mở_mang,0
mở_nước,1
mở_ra,0
mợ,1
mức,1
nay,1
ngay,1
ngay_bây_giờ,1
ngay_cả,1
ngay_khi,1
ngay_khi_đến,1
ngay_lúc,1
ngay_lúc_này,1
ngay_lập_tức,1
ngay_thật,1
ngay_tức_khắc,1
ngay_tức_thì,1
ngay_từ,1
nghe,0
nghe_chừng,0
nghe_hiểu,1
nghe_không,1
nghe_lại,1
nghe_nhìn,1
nghe_như,1
nghe_nói,1
nghe_ra,1
nghe_rõ,0
nghe_thấy,1
nghe_tin,1
nghe_trực_tiếp,1
nghe_đâu,0
nghe_đâu_như,0
nghe_được,1
nghen,1
nghiễm_nhiên,1
nghĩ,1
nghĩ_lại,1
nghĩ_ra,1
nghĩ_tới,1
nghĩ_xa,1
nghĩ_đến,1
nghỉm,0
ngoài,1
ngoài_này,1
ngoài_ra,1
ngoài_xa,1
ngoải,1
nguồn,0
ngày,1
ngày_càng,0
ngày_cấp,1
ngày_giờ,1
ngày_ngày,1
ngày_nào,0
ngày_này,1
ngày_nọ,0
ngày_qua,1
ngày_rày,1
ngày_tháng,1
ngày_xưa,1
ngày_xửa,1
ngày_đến,1
ngày_ấy,1
ngôi,1
ngôi_nhà,1
ngôi_thứ,1
ngõ_hầu,1
ngăn_ngắt,1
ngươi,1
người,1
người_hỏi,1
người_khác,1
người_khách,1
người_mình,1
người_nghe,1
người_người,1
người_nhận,1
ngọn,1
ngọn_nguồn,1
ngọt,0
ngồi,1
ngồi_bệt,1
ngồi_không,1
ngồi_sau,1
ngồi_trệt,1
ngộ_nhỡ,0
nhanh,0
nhanh_lên,0
nhanh_tay,0
nhau,1
nhiên_hậu,1
nhiều,0
nhiều_ít,0
nhiệt_liệt,0
nhung_nhăng,0
nhà,1
nhà_chung,1
nhà_khó,1
nhà_làm,1
nhà_ngoài,1
nhà_ngươi,1
nhà_tôi,1
nhà_việc,1
nhân_dịp,1
nhân_tiện,1
nhé,1
nhìn,1
nhìn_chung,1
nhìn_lại,1
nhìn_nhận,1
nhìn_theo,1
nhìn_thấy,1
nhìn_xuống,1
nhóm,1
nhón_nhén,1
như,1
như_ai,1
như_chơi,1
như_không,1
như_là,1
như_nhau,1
như_quả,1
như_sau,1
như_thường,1
như_thế,1
như_thế_nào,0
như_thể,1
như_trên,1
như_trước,1
như_tuồng,1
như_vậy,1
như_ý,0
nhưng,0
nhưng_mà,0
nhược_bằng,1
nhất,0
nhất_loạt,1
nhất_luật,1
nhất_là,0
nhất_mực,0
nhất_nhất,1
nhất_quyết,0
nhất_sinh,1
nhất_thiết,0
nhất_thì,1
nhất_tâm,1
nhất_tề,1
nhất_đán,0
nhất_định,0
