word,is_stopword
nhận,0
nhận_biết,1
nhận_họ,1
nhận_làm,1
nhận_nhau,1
nhận_ra,1
nhận_thấy,1
nhận_việc,1
nhận_được,0
nhằm,1
nhằm_khi,1
nhằm_lúc,1
nhằm_vào,1
nhằm_để,1
instagram,1
facebook,1
zalo,1
youtube,1
nhỉ,0
nhỏ,0
nhỏ_người,1
nhớ,1
nhớ_bập_bõm,1
nhớ_lại,1
nhớ_lấy,1
nhớ_ra,1
nhờ,1
nhờ_chuyển,1
nhờ_có,1
nhờ_nhờ,1
nhờ_đó,1
nhỡ_ra,1
những,1
những_ai,0
những_khi,1
những_là,1
những_lúc,1
những_muốn,1
những_như,1
nào,0
nào_cũng,1
nào_hay,0
nào_là,1
nào_phải,0
nào_đâu,0
nào_đó,1
này,1
này_nọ,1
nên,0
nên_chi,1
nên_chăng,0
nên_làm,0
nên_người,1
nên_tránh,0
nó,1
nóc,1
nói,0
nói_bông,1
nói_chung,0
nói_khó,0
nói_là,1
nói_lên,1
nói_lại,1
nói_nhỏ,1
nói_phải,0
nói_qua,1
nói_ra,1
nói_riêng,1
nói_rõ,0
nói_thêm,1
nói_thật,0
nói_toẹt,1
nói_trước,1
nói_tốt,0
nói_với,1
nói_xa,1
nói_ý,1
nói_đến,1
nói_đủ,1
năm,1
năm_tháng,1
nơi,1
nơi_nơi,1
nước,1
nước_bài,1
nước_cùng,1
nước_lên,1
nước_nặng,1
nước_quả,1
nước_xuống,1
nước_ăn,1
nước_đến,1
nấy,1
nặng,0
nặng_căn,1
nặng_mình,1
nặng_về,1
nếu,0
nếu_có,0
nếu_cần,1
nếu_không,0
nếu_mà,1
nếu_như,1
nếu_thế,1
nếu_vậy,1
nếu_được,1
nền,1
nọ,1
nớ,1
nức_nở,0
nữa,1
nữa_khi,1
nữa_là,1
nữa_rồi,1
oai_oái,1
oái,1
pho,1
phè,1
phè_phè,1
phía,1
phía_bên,1
phía_bạn,1
phía_dưới,1
phía_sau,1
phía_trong,1
phía_trên,1
phía_trước,1
phóc,1
phót,1
phù_hợp,0
phăn_phắt,1
phương_chi,1
phải,0
phải_biết,0
phải_chi,0
phải_chăng,0
phải_cách,1
phải_cái,1
phải_giờ,1
phải_khi,1
phải_không,0
phải_lại,1
phải_lời,1
phải_người,1
phải_như,1
phải_rồi,1
phải_tay,1
phần,1
phần_lớn,1
phần_nhiều,1
phần_nào,1
phần_sau,1
phần_việc,1
phắt,1
phỉ_phui,1
phỏng,1
phỏng_như,1
phỏng_nước,1
phỏng_theo,1
phỏng_tính,1
phốc,1
phụt,1
phứt,1
qua,1
qua_chuyện,1
qua_khỏi,1
qua_lại,1
qua_lần,1
qua_ngày,1
qua_tay,1
qua_thì,1
qua_đi,1
quan_trọng,0
quan_trọng_vấn_đề,1
quan_tâm,0
quay,0
quay_bước,1
quay_lại,0
quay_số,1
quay_đi,1
quá,0
quá_bán,1
quá_bộ,1
quá_giờ,0
quá_lời,0
quá_mức,0
quá_nhiều,0
quá_tay,1
quá_thì,1
quá_tin,1
quá_trình,1
quá_tuổi,1
quá_đáng,0
quá_ư,0
quả,1
quả_là,1
quả_thật,1
quả_thế,1
quả_vậy,1
quận,1
ra,1
ra_bài,1
ra_bộ,1
ra_chơi,1
ra_gì,0
ra_lại,1
ra_lời,1
ra_ngôi,1
ra_người,1
ra_sao,0
ra_tay,1
ra_vào,1
ra_ý,1
ra_điều,1
ra_đây,1
ren_rén,1
riu_ríu,1
riêng,0
riêng_từng,1
riệt,1
rày,1
ráo,1
ráo_cả,1
ráo_nước,1
ráo_trọi,1
rén,1
rén_bước,1
rích,1
rón_rén,1
rõ,0
rõ_là,1
rõ_thật,0
rút_cục,1
răng,1
răng_răng,1
rất,0
rất_lâu,0
rằng,1
rằng_là,1
rốt_cuộc,1
rốt_cục,1
rồi,1
rồi_nữa,1
rồi_ra,1
rồi_sao,0
rồi_sau,1
rồi_tay,1
rồi_thì,1
rồi_xem,1
rồi_đây,1
rứa,1
sa_sả,1
sang,1
sang_năm,1
sang_sáng,1
sang_tay,1
sao,0
sao_bản,1
sao_bằng,0
sao_cho,1
sao_vậy,0
sao_đang,1
sau,1
sau_chót,1
sau_cuối,1
sau_cùng,1
sau_hết,1
sau_này,1
sau_nữa,1
sau_sau,1
sau_đây,1
sau_đó,1
so,0
so_với,0
song_le,1
suýt,1
suýt_nữa,1
sáng,0
sáng_ngày,1
sáng_rõ,0
sáng_thế,1
sáng_ý,1
sì,1
sì_sì,1
sất,1
sắp,1
sắp_đặt,1
sẽ,1
sẽ_biết,1
sẽ_hay,1
số,1
số_cho_biết,1
số_cụ_thể,1
số_loại,1
số_là,1
số_người,1
số_phần,1
số_thiếu,1
sốt_sột,1
sớm,0
sớm_ngày,1
sở_dĩ,1
sử_dụng,0
sự,1
sự_thế,1
sự_việc,1
tanh,1
tanh_tanh,1
tay,1
tay_quay,1
tha_hồ,1
tha_hồ_chơi,1
tha_hồ_ăn,1
than_ôi,1
thanh,1
thanh_ba,1
thanh_chuyển,1
thanh_không,1
thanh_thanh,1
thanh_tính,1
thanh_điều_kiện,1
thanh_điểm,1
thay_đổi,0
thay_đổi_tình_trạng,0
theo,1
theo_bước,1
theo_như,1
theo_tin,1
thi_thoảng,0
thiếu,0
thiếu_gì,1
thiếu_điểm,0
thoạt,1
thoạt_nghe,1
thoạt_nhiên,1
thoắt,1
thuần,1
thuần_ái,1
thuộc,1
thuộc_bài,1
thuộc_cách,1
thuộc_lại,1
thuộc_từ,1
thà,1
thà_là,1
thà_rằng,1
thành_ra,1
thành_thử,1
thái_quá,1
tháng,1
tháng_ngày,1
tháng_năm,1
tháng_tháng,1
thêm,0
thêm_chuyện,1
thêm_giờ,1
thêm_vào,1
thì,1
thì_giờ,1
thì_là,1
thì_phải,1
thì_ra,1
thì_thôi,1
thình_lình,1
thích,0
thích_cứ,1
thích_thuộc,1
thích_tự,1
thích_ý,1
thím,1
thôi,1
thôi_việc,1
thúng_thắng,1
thương_ôi,0
thường,0
thường_bị,1
thường_hay,1
thường_khi,1
thường_số,1
thường_sự,1
thường_thôi,1
thường_thường,1
thường_tính,1
thường_tại,1
thường_xuất_hiện,1
thường_đến,1
thảo_hèn,1
thảo_nào,1
thấp,0
thấp_cơ,1
thấp_thỏm,0
thấp_xuống,1
thấy,0
thấy_tháng,1
thẩy,1
thậm,1
thậm_chí,1
thậm_cấp,1
thậm_từ,1
thật,0
thật_chắc,1
thật_là,0
thật_lực,1
thật_quả,1
thật_ra,1
thật_sự,0
thật_thà,0
thật_tốt,0
thật_vậy,1
thế,1
thế_chuẩn_bị,1
thế_là,1
thế_lại,1
thế_mà,0
thế_nào,1
thế_nên,1
thế_ra,1
thế_sự,1
thế_thì,1
thế_thôi,1
thế_thường,1
thế_thế,1
thế_à,1
thế_đó,1
thếch,1
thỉnh_thoảng,0
thỏm,1
thốc,1
thốc_tháo,1
thốt,1
thốt_nhiên,1
thốt_nói,1
thốt_thôi,1
thộc,1
thời_gian,0
thời_gian_sử_dụng,0
thời_gian_tính,1
thời_điểm,0
thục_mạng,1
thứ,1
thứ_bản,1
thứ_đến,1
thửa,1
thực_hiện,1
thực_hiện_đúng,1
thực_ra,1
thực_sự,0
thực_tế,0
thực_vậy,1
tin,0
tin_thêm,1
tin_vào,1
tiếp_theo,1
tiếp_tục,1
tiếp_đó,1
tiện_thể,1
toà,1
toé_khói,1
toẹt,1
trong,0
trong_khi,0
trong_lúc,0
trong_mình,1
trong_ngoài,1
trong_này,1
trong_số,1
trong_vùng,1
trong_đó,1
trong_ấy,1
tránh,0
tránh_khỏi,0
tránh_ra,1
tránh_tình_trạng,0
tránh_xa,1
trên,0
trên_bộ,1
trên_dưới,1
trước,1
trước_hết,1
trước_khi,1
trước_kia,1
trước_nay,1
trước_ngày,1
trước_nhất,1
trước_sau,1
trước_tiên,1
trước_tuổi,1
trước_đây,1
trước_đó,1
trả,0
trả_của,0
trả_lại,0
trả_ngay,0
trả_trước,0
trếu_tráo,1
trển,1
trệt,1
trệu_trạo,1
trỏng,1
trời_đất_ơi,1
trở_thành,0
trừ_phi,0
trực_tiếp,1
trực_tiếp_làm,1
tuy,1
tuy_có,0
tuy_là,0
tuy_nhiên,0
tuy_rằng,0
tuy_thế,0
tuy_vậy,0
tuy_đã,0
tuyệt_nhiên,0
tuần_tự,1
tuốt_luốt,1
tuốt_tuồn_tuột,1
tuốt_tuột,1
tuổi,1
tuổi_cả,1
tuổi_tôi,1
tà_tà,1
tên,1
tên_chính,1
tên_cái,1
tên_họ,1
tên_tự,1
tênh,1
tênh_tênh,1
tìm,1
tìm_bạn,1
tìm_cách,1
tìm_hiểu,1
tìm_ra,1
tìm_việc,1
tình_trạng,0
tính,0
tính_cách,1
tính_căn,1
tính_người,1
tính_phỏng,1
tính_từ,1
tít_mù,1
tò_te,1
tôi,1
tôi_con,1
tông_tốc,1
tù_tì,1
tăm_tắp,1
tăng,0
tăng_chúng,1
tăng_cấp,1
tăng_giảm,0
tăng_thêm,0
tăng_thế,1
tại,1
tại_lòng,1
tại_nơi,1
tại_sao,0
tại_tôi,1
tại_vì,1
tại_đâu,1
tại_đây,1
tại_đó,1
tạo,1
tạo_cơ_hội,1
tạo_nên,1
tạo_ra,1
tạo_ý,1
tạo_điều_kiện,1
tấm,1
tấm_bản,1
tấm_các,1
tấn,1
tấn_tới,1
tất_cả,0
tất_cả_bao_nhiêu,0
tất_thảy,0
tất_tần_tật,0
tất_tật,1
tập_trung,1
tắp,1
tắp_lự,1
tắp_tắp,1
tọt,1
tỏ_ra,0
tỏ_vẻ,0
tốc_tả,1
tối_ư,0
tốt,0
tốt_bạn,1
tốt_bộ,1
tốt_hơn,0
tốt_mối,1
tốt_ngày,1
tột,0
tột_cùng,0
tớ,1
tới,1
tới_gần,1
tới_mức,1
tới_nơi,1
tới_thì,1
tức_thì,1
tức_tốc,1
từ,1
từ_căn,1
từ_giờ,1
từ_khi,1
từ_loại,1
từ_nay,1
từ_thế,1
từ_tính,1
từ_tại,1
từ_từ,0
từ_ái,1
từ_điều,1
từ_đó,1
từ_ấy,1
từng,1
từng_cái,1
từng_giờ,1
từng_nhà,1
từng_phần,1
từng_thời_gian,1
từng_đơn_vị,1
từng_ấy,1
tự,1
tự_cao,0
tự_khi,1
tự_lượng,1
tự_tính,1
tự_tạo,1
tự_vì,1
tự_ý,1
tự_ăn,1
tựu_trung,1
veo,1
veo_veo,1
việc,1
việc_gì,0
vung_thiên_địa,1
vung_tàn_tán,1
vung_tán_tàn,1
và,1
vài,1
vài_ba,1
vài_người,1
vài_nhà,1
vài_nơi,1
vài_tên,1
vài_điều,1
vào,1
vào_gặp,1
vào_khoảng,1
vào_lúc,1
vào_vùng,1
vào_đến,1
vâng,1
vâng_chịu,1
vâng_dạ,1
vâng_vâng,1
vâng_ý,1
vèo,1
vèo_vèo,1
vì,1
vì_chưng,1
vì_rằng,1
vì_sao,0
vì_thế,1
vì_vậy,1
ví_bằng,1
ví_dù,1
ví_phỏng,1
ví_thử,1
vô_hình_trung,1
vô_kể,0
vô_luận,1
vô_vàn,0
vùng,1
vùng_lên,1
vùng_nước,1
văng_tê,1
vượt,0
vượt_khỏi,0
vượt_quá,0
vạn_nhất,1
vả_chăng,1
vả_lại,0
vấn_đề,0
vấn_đề_quan_trọng,1
vẫn,0
vẫn_thế,1
vậy,1
vậy_là,1
vậy_mà,1
vậy_nên,1
vậy_ra,1
vậy_thì,1
vậy_ư,1
về,1
về_không,1
về_nước,1
về_phần,1
về_sau,1
về_tay,1
vị_trí,1
vị_tất,1
vốn_dĩ,1
với,1
với_lại,1
với_nhau,1
vở,1
vụt,1
vừa,0
vừa_khi,1
vừa_lúc,1
vừa_mới,1
vừa_qua,1
vừa_rồi,1
vừa_vừa,1
xa,1
xa_cách,1
xa_gần,1
xa_nhà,1
xa_tanh,1
xa_tắp,1
xa_xa,1
xa_xả,1
xem,1
xem_lại,1
xem_ra,0
xem_số,1
xin,1
xin_gặp,1
xin_vâng,1
xiết_bao,1
xon_xón,1
xoành_xoạch,1
xoét,1
xoẳn,1
xoẹt,1
xuất_hiện,1
xuất_kì_bất_ý,1
xuất_kỳ_bất_ý,1
xuể,1
xuống,0
xăm_xúi,1
xăm_xăm,1
xăm_xắm,1
xảy_ra,1
xềnh_xệch,1
xệp,1
xử_lý,0
yêu_cầu,0
à,1
à_này,1
à_ơi,1
ào,1
ào_vào,1
ào_ào,1
á,1
á_à,1
ái,1
ái_chà,1
ái_dà,1
áng,1
áng_như,1
âu_là,1
ít,0
ít_biết,1
ít_có,1
ít_hơn,0
ít_khi,0
ít_lâu,1
ít_nhiều,1
ít_nhất,0
ít_nữa,1
ít_quá,0
ít_ra,0
ít_thôi,1
ít_thấy,1
ô_hay,0
ô_hô,0
ô_kê,1
ô_kìa,0
ôi_chao,0
ôi_thôi,0
ông,1
ông_nhỏ,1
ông_tạo,1
ông_từ,1
ông_ấy,1
ông_ổng,1
úi,1
úi_chà,1
úi_dào,1
ý,1
ý_chừng,1
ý_da,1
ý_hoặc,1
ăn,1
ăn_chung,1
ăn_chắc,0
ăn_chịu,1
ăn_cuộc,1
ăn_hết,1
ăn_hỏi,1
ăn_làm,1
ăn_người,1
ăn_ngồi,1
ăn_quá,1
ăn_riêng,1
ăn_sáng,1
ăn_tay,1
ăn_trên,1
ăn_về,1
đang,1
đang_tay,1
đang_thì,1
điều,1
điều_gì,0
điều_kiện,0
điểm,0
điểm_chính,1
điểm_gặp,1
điểm_đầu_tiên,1
đành_đạch,1
đáng,0
đáng_kể,0
đáng_lí,0
đáng_lý,0
đáng_lẽ,0
đáng_số,1
đánh_giá,0
đánh_đùng,1
đáo_để,0
đâu,0
đâu_có,0
đâu_cũng,1
đâu_như,1
đâu_nào,1
đâu_phải,1
đâu_đâu,1
đâu_đây,1
đâu_đó,1
đây,1
đây_này,1
đây_rồi,1
đây_đó,1
đã,1
đã_hay,1
đã_không,0
đã_là,1
đã_lâu,1
đã_thế,1
đã_vậy,1
đã_đủ,1
đó,1
đó_đây,1
đúng,0
đúng_ngày,0
đúng_ra,1
đúng_tuổi,1
đúng_với,1
đơn_vị,1
đưa,1
đưa_cho,1
đưa_chuyện,1
đưa_em,1
đưa_ra,1
đưa_tay,1
đưa_tin,1
đưa_tới,1
đưa_vào,1
đưa_về,1
đưa_xuống,1
đưa_đến,1
được,0
được_cái,1
được_lời,1
được_nước,1
được_tin,1
đại_loại,1
đại_nhân,1
đại_phàm,1
đại_để,1
đạt,0
đảm_bảo,0
đầu_tiên,1
đầy,0
đầy_năm,1
đầy_phè,1
đầy_tuổi,1
đặc_biệt,0
đặt,0
đặt_làm,1
đặt_mình,1
đặt_mức,1
đặt_ra,1
đặt_trước,0
đặt_để,1
đến,1
đến_bao_giờ,0
đến_cùng,0
đến_cùng_cực,0
đến_cả,1
đến_giờ,1
đến_gần,1
đến_hay,1
đến_khi,1
đến_lúc,1
đến_lời,1
đến_nay,1
đến_ngày,1
đến_nơi,1
đến_nỗi,0
đến_thì,1
đến_thế,1
đến_tuổi,1
đến_xem,1
đến_điều,1
đến_đâu,0
đều,1
đều_bước,1
đều_nhau,1
đều_đều,1
để,1
để_cho,1
để_giống,1
để_không,1
để_lòng,1
để_lại,1
để_mà,1
để_phần,1
để_được,1
để_đến_nỗi,0
đối_với,1
đồng_thời,1
đủ,0
đủ_dùng,1
đủ_nơi,1
đủ_số,1
đủ_điều,1
đủ_điểm,1
ơ,1
ơ_hay,1
ơ_kìa,1
ơi,1
ơi_là,1
ư,1
ạ,1
ạ_ơi,1
ấy,1
ấy_là,1
ầu_ơ,1
ắt,1
ắt_hẳn,0
ắt_là,0
ắt_phải,0
ắt_thật,0
ối_dào,0
ối_giời,0
ối_giời_ơi,0
ồ,1
ồ_ồ,1
ổng,1
ớ,1
ớ_này,1
ờ,1
ờ_ờ,1
ở,1
ở_lại,1
ở_như,1
ở_nhờ,1
ở_năm,1
ở_trên,1
ở_vào,1
ở_đây,1
ở_đó,1
ở_được,1
ủa,1
ứ_hự,1
ứ_ừ,1
ừ,1
ừ_nhé,1
ừ_thì,1
ừ_ào,1
ừ_ừ,1
ử,1